Name_str,mean,std,q25,q50,q75
BS,831.9714066823146,25022.410553039288,0.32672121655877046,1.7748159881690357,12.145334306289394
BS+CC,41563.99357532972,1298829.984455313,3.5158379060174787,50.29526486262568,467.3752000510269
BS+CC+FM,36818.61936173924,1150538.4938734865,3.1153909344374413,44.55584794565432,414.02495736356667
BS+FM,7769.705999496205,242437.3612160158,0.7513582288500983,9.686950422788808,88.41133073875899
BS+GW,838.0012341633665,25642.91982023766,0.21383019420536203,1.4440061676139007,10.989014711579426
BS+GW+CC,29154.940228203275,910998.6197896103,2.4826789196615646,35.33269278787892,328.0408456773778
BS+GW+CC+FM,26249.106781829858,820198.8626910279,2.2357058106875867,31.812677348625925,295.35138087707867
BS+GW+FM,5377.497509112271,167734.61384212517,0.5354110300181301,6.74936281322943,61.35118630260048
CC,49377.096554906304,1543165.240824092,4.1290948174822315,59.61707645705319,554.7708113173642
CC+FM,43567.15508432985,1361592.8335562553,3.642303065310903,52.59974090456775,489.48541572337115
FM,13364.720843731084,417747.3777296049,1.1010653693672499,16.091832381358746,150.00646302082765
GW,78.98743688821418,2405.905372863167,0.023059581928852796,0.1445883393831317,1.066114131889628
GW+CC,32568.01299963379,1017799.6006179383,2.733213371769929,39.35118574124178,366.0200097182671
GW+CC+FM,29166.96843102838,911514.9432961459,2.4470019748572205,35.23990832124724,327.79109660303635
GW+FM,7641.580036181711,238823.435444918,0.6381119543026795,9.2247937398724,85.85300666696344
NCMO,151.7151632217655,3745.3630584250895,0.27619116701094554,1.000605822707261,4.7448181918553445
RAMO,1540.0983405013035,38020.10945703751,2.8036857528437156,10.157400148601711,48.16583573544471
Sub ISO-M-L,18614.18445083644,581415.1532642924,1.6422393828087476,22.726636474625042,210.04726209580352
Sub ISO-M-M,35739.39445241323,1116662.805785762,3.064114039681308,43.374945866648126,402.3570409613684
Sub ISO-M-S,74937.79808771917,2341852.4023302803,6.307283578330491,90.60991415758276,842.4541036229847
Sub ISO-P-L,15485.000964743993,483756.5287274369,1.3449678818358808,18.845687653950076,174.52304635777776
Sub ISO-P-M,28927.33193127368,903905.1269636962,2.459174465112673,35.05505826336728,325.4969907500207
Sub ISO-P-S,67440.40290454886,2107667.8454547757,5.647361334099276,81.47110189616899,757.9284236250849
Sub InC-M-L,8620.832622824853,268663.34963496146,0.9224074469225755,11.038147281257269,99.20886423361593
Sub InC-M-M,23650.267258203556,736852.5815625482,2.5819653541795855,30.441220912497084,272.7601925323451
Sub InC-M-S,113328.62467159865,3531260.9335096953,12.273903727841567,145.55933413363553,1305.8612530402409
Sub InC-P-L,5684.9182245267975,177151.73217388694,0.6123753508596632,7.291715092436277,65.46956422963005
Sub InC-P-M,15792.01346254266,492065.88925565267,1.7117106608792902,20.28823586715572,181.98791765140038
Sub InC-P-S,72830.13755664634,2269853.053969179,7.754621810058082,93.13214157744885,837.6822530492846
